route,current_garage,day_type,lagged_total_precip,lagged_avg_temp,year,month,lagged_avg_riders,season,num_unique_stops,num_unique_stops_with_shelter,covid,avg_riders
1,Ross,SAT.,3.43,33.6,2017,1,,Winter,224.0,17.0,0,969.5
1,Ross,SAT.,3.54,34.6,2017,2,969.5,Winter,224.0,17.0,0,1238.75
1,Ross,SAT.,1.46,40.6,2017,3,1238.75,Spring,224.0,17.0,0,1178.25
1,Ross,SAT.,5.02,39.9,2017,4,1178.25,Spring,224.0,17.0,0,1285.2
1,Ross,SAT.,3.54,57.3,2017,5,1285.2,Spring,224.0,17.0,0,1235.5
1,Ross,SAT.,5.15,60.6,2017,6,1235.5,Summer,224.0,17.0,0,1375.0
1,Ross,SAT.,3.78,69.7,2017,7,1375.0,Summer,224.0,17.0,0,1361.2
1,Ross,SAT.,6.42,73.7,2017,8,1361.2,Summer,224.0,17.0,0,1351.75
1,Ross,SAT.,2.63,70.3,2017,9,1351.75,Fall,224.0,17.0,0,1413.4
1,Ross,SAT.,0.58,66.4,2017,10,1413.4,Fall,224.0,17.0,0,1354.75
1,Ross,SAT.,4.11,58.0,2017,11,1354.75,Fall,224.0,17.0,0,1099.75
1,Ross,SAT.,4.15,42.0,2017,12,1099.75,Winter,224.0,17.0,0,1237.6
1,Ross,SAT.,1.77,30.6,2018,1,1237.6,Winter,224.0,17.0,0,991.25
1,Ross,SAT.,4.28,25.6,2018,2,991.25,Winter,224.0,17.0,0,1229.25
1,Ross,SAT.,7.04,38.8,2018,3,1229.25,Spring,224.0,17.0,0,1159.0
1,Ross,SAT.,2.96,34.8,2018,4,1159.0,Spring,224.0,17.0,0,1288.0
1,Ross,SAT.,4.43,46.3,2018,5,1288.0,Spring,224.0,17.0,0,1410.0
1,Ross,SAT.,2.83,69.0,2018,6,1410.0,Summer,224.0,17.0,0,1173.2
1,Ross,SAT.,6.1,70.8,2018,7,1173.2,Summer,224.0,17.0,0,1090.75
1,Ross,SAT.,3.96,73.5,2018,8,1090.75,Summer,224.0,17.0,0,1429.0
1,Ross,SAT.,4.53,73.0,2018,9,1429.0,Fall,224.0,17.0,0,1295.8
1,Ross,SAT.,8.5,69.7,2018,10,1295.8,Fall,224.0,17.0,0,1307.5
1,Ross,SAT.,3.59,53.4,2018,11,1307.5,Fall,224.0,17.0,0,1086.75
1,Ross,SAT.,4.57,37.3,2018,12,1086.75,Winter,224.0,17.0,0,1207.4
1,Ross,SAT.,4.29,34.9,2019,1,1207.4,Winter,224.0,17.0,0,1080.25
1,Ross,SAT.,3.06,27.5,2019,2,1080.25,Winter,224.0,17.0,0,1110.5
1,Ross,SAT.,3.97,33.9,2019,3,1110.5,Spring,224.0,17.0,0,1240.8
1,Ross,SAT.,2.37,36.7,2019,4,1240.8,Spring,224.0,17.0,0,1335.75
1,Ross,SAT.,3.44,54.0,2019,5,1335.75,Spring,224.0,17.0,0,1430.5
1,Ross,SAT.,5.96,64.0,2019,6,1430.5,Summer,224.0,17.0,0,1404.0
1,Ross,SAT.,6.42,68.3,2019,7,1404.0,Summer,224.0,17.0,0,1421.75
1,Ross,SAT.,6.92,75.0,2019,8,1421.75,Summer,224.0,17.0,0,1427.8
1,Ross,SAT.,2.45,71.9,2019,9,1427.8,Fall,224.0,17.0,0,1413.75
1,Ross,SAT.,5.34,69.0,2019,10,1413.75,Fall,224.0,17.0,0,1334.75
1,Ross,SAT.,7.19,56.2,2019,11,1334.75,Fall,224.0,17.0,0,1310.6
1,Ross,SAT.,1.65,37.7,2019,12,1310.6,Winter,224.0,17.0,0,1171.5
