_id,route,ridership_route_code,route_full_name,current_garage,mode,month_start,year_month,day_type,avg_riders,day_count,next_year_month_x,total_precip,next_year_month_y,avg_temp
1,1,001,1 - FREEPORT ROAD,Ross,Bus,2017-01-01,201701,SAT.,969.5,4,201701,3.43,201701,33.6
2,4,004,4 - TROY HILL,Ross,Bus,2017-01-01,201701,SAT.,218.25,4,201701,3.43,201701,33.6
3,6,006,6 - SPRING HILL,Ross,Bus,2017-01-01,201701,SAT.,495.5,4,201701,3.43,201701,33.6
4,8,008,8 - PERRYSVILLE,Ross,Bus,2017-01-01,201701,SAT.,1480.0,4,201701,3.43,201701,33.6
5,11,011,11 - FINEVIEW,Ross,Bus,2017-01-01,201701,SAT.,208.0,4,201701,3.43,201701,33.6
6,12,012,12 - MCKNIGHT,Ross,Bus,2017-01-01,201701,SAT.,1069.75,4,201701,3.43,201701,33.6
7,13,013,13 - BELLEVUE,Ross,Bus,2017-01-01,201701,SAT.,1252.75,4,201701,3.43,201701,33.6
8,14,014,14 - OHIO VALLEY,Ross,Bus,2017-01-01,201701,SAT.,478.25,4,201701,3.43,201701,33.6
9,15,015,15 - CHARLES,Ross,Bus,2017-01-01,201701,SAT.,672.0,4,201701,3.43,201701,33.6
10,16,016,16 - BRIGHTON,Ross,Bus,2017-01-01,201701,SAT.,2070.0,4,201701,3.43,201701,33.6
11,17,017,17 - SHADELAND,Ross,Bus,2017-01-01,201701,SAT.,499.25,4,201701,3.43,201701,33.6
12,21,021,21 - CORAOPOLIS,Collier,Bus,2017-01-01,201701,SAT.,480.5,4,201701,3.43,201701,33.6
13,22,022,22 - MCCOY,Collier,Bus,2017-01-01,201701,SAT.,424.5,4,201701,3.43,201701,33.6
14,24,024,24 - WEST PARK,Collier,Bus,2017-01-01,201701,SAT.,1128.5,4,201701,3.43,201701,33.6
15,26,026,26 - CHARTIERS,Collier,Bus,2017-01-01,201701,SAT.,504.0,4,201701,3.43,201701,33.6
16,27,027,27 - FAIRYWOOD,Collier,Bus,2017-01-01,201701,SAT.,634.0,4,201701,3.43,201701,33.6
17,28X,028X,28X - AIRPORT FLYER,East Liberty,Bus,2017-01-01,201701,SAT.,1339.75,4,201701,3.43,201701,33.6
18,31,031,31 - BRIDGEVILLE,Collier,Bus,2017-01-01,201701,SAT.,768.25,4,201701,3.43,201701,33.6
19,38,038,38 - GREEN TREE,Collier,Bus,2017-01-01,201701,SAT.,333.0,4,201701,3.43,201701,33.6
20,39,039,39 - BROOKLINE,Collier,Bus,2017-01-01,201701,SAT.,181.75,4,201701,3.43,201701,33.6
21,40,040,40 - MOUNT WASHINGTON,Ross,Bus,2017-01-01,201701,SAT.,216.25,4,201701,3.43,201701,33.6
22,41,041,41 - BOWER HILL,Collier,Bus,2017-01-01,201701,SAT.,464.25,4,201701,3.43,201701,33.6
23,43,043,43 - BAILEY,Collier,Bus,2017-01-01,201701,SAT.,279.25,4,201701,3.43,201701,33.6
24,44,044,44 - VIA KNOXVILLE,Collier,Bus,2017-01-01,201701,SAT.,285.0,4,201701,3.43,201701,33.6
25,48,048,48 - ARLINGTON,Collier,Bus,2017-01-01,201701,SAT.,1867.0,4,201701,3.43,201701,33.6
26,51,051,51 - CARRICK,West Mifflin,Bus,2017-01-01,201701,SAT.,4541.5,4,201701,3.43,201701,33.6
27,53,053,53 - HOMESTEAD PARK,West Mifflin,Bus,2017-01-01,201701,SAT.,298.75,4,201701,3.43,201701,33.6
28,54,054,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Ross,Bus,2017-01-01,201701,SAT.,2311.0,4,201701,3.43,201701,33.6
29,55,055,55 - GLASSPORT,West Mifflin,Bus,2017-01-01,201701,SAT.,610.5,4,201701,3.43,201701,33.6
30,56,056,56 - LINCOLN PLACE,West Mifflin,Bus,2017-01-01,201701,SAT.,604.75,4,201701,3.43,201701,33.6
31,57,057,57 - HAZELWOOD,West Mifflin,Bus,2017-01-01,201701,SAT.,858.5,4,201701,3.43,201701,33.6
32,58,058,58 - GREENFIELD,East Liberty,Bus,2017-01-01,201701,SAT.,244.5,4,201701,3.43,201701,33.6
33,59,059,59 - MON VALLEY,West Mifflin,Bus,2017-01-01,201701,SAT.,1640.75,4,201701,3.43,201701,33.6
34,61A,061A,61A - NORTH BRADDOCK,West Mifflin,Bus,2017-01-01,201701,SAT.,2823.25,4,201701,3.43,201701,33.6
35,61B,061B,61B - BRADDOCK-SWISSVALE,West Mifflin,Bus,2017-01-01,201701,SAT.,2270.75,4,201701,3.43,201701,33.6
36,61C,061C,61C - MCKEESPORT-HOMESTEAD,West Mifflin,Bus,2017-01-01,201701,SAT.,3763.75,4,201701,3.43,201701,33.6
37,61D,061D,61D - MURRAY,West Mifflin,Bus,2017-01-01,201701,SAT.,3212.75,4,201701,3.43,201701,33.6
38,64,064,64 - LAWRENCEVILLE - WATERFRONT,West Mifflin,Bus,2017-01-01,201701,SAT.,1386.0,4,201701,3.43,201701,33.6
39,67,067,67 - MONROEVILLE,East Liberty,Bus,2017-01-01,201701,SAT.,737.5,4,201701,3.43,201701,33.6
40,68,068,,,Bus,2017-01-01,201701,SAT.,347.0,4,201701,3.43,201701,33.6
41,69,069,69 - TRAFFORD,East Liberty,Bus,2017-01-01,201701,SAT.,284.0,4,201701,3.43,201701,33.6
42,71A,071A,71A - NEGLEY,East Liberty,Bus,2017-01-01,201701,SAT.,2569.5,4,201701,3.43,201701,33.6
43,71B,071B,71B - HIGHLAND PARK,East Liberty,Bus,2017-01-01,201701,SAT.,1770.0,4,201701,3.43,201701,33.6
44,71C,071C,71C - POINT BREEZE,East Liberty,Bus,2017-01-01,201701,SAT.,3147.5,4,201701,3.43,201701,33.6
45,71D,071D,71D - HAMILTON,East Liberty,Bus,2017-01-01,201701,SAT.,1883.25,4,201701,3.43,201701,33.6
46,74,074,74 - HOMEWOOD-SQUIRREL HILL,East Liberty,Bus,2017-01-01,201701,SAT.,392.0,4,201701,3.43,201701,33.6
47,75,075,75 - ELLSWORTH,East Liberty,Bus,2017-01-01,201701,SAT.,1783.5,4,201701,3.43,201701,33.6
